,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
1006,worn,11.02.2018 01:27:34 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contactor tips.  1 MN15-E02 x 1hr  10366616 x 2 10858502 x 7 10366617 x 4 10366692 x 6 10879568 x 3 10915560 x 1   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contactor,replace contactor,replac contactor
1007,Worn,11.02.2018 01:27:34 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contactor tips.  1 MN15-E02 x 1hr  10366616 x 2 10858502 x 7 10366617 x 4 10366692 x 6 10879568 x 3 10915560 x 1   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contactor,replace contactor,replac contactor
1008,Failed,11.03.2018 20:41:02 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RSC not working needs replacing 1 x elec 2hrs 1 x XC 2455   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,rsc not working needs replacing elec xc,rsc working needs replacing elec xc,rsc work need replac elec xc
1014,worn,06.02.2018 23:53:48 UTC Jeffrey Ingrey (INGRJ9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  prelube pump not pumping. Need to replace prelube pump   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x cummins fitter 3 hrs 1x 10657973   *     *    ,prelube pump not need to replace prelube pump cummins fitter hrs,prelube pump need replace prelube pump cummins fitter hrs,prelub pump need replac prelub pump cummin fitter hrs
1019,worn,19.02.2018 09:41:41 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contactor tips.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contactor,replace contactor,replac contactor
1020,worn,19.02.2018 09:41:41 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contactor tips.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contactor,replace contactor,replac contactor
1022,Worn,19.02.2018 09:41:41 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contactor tips.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace contactor,replace contactor,replac contactor
1024,Damaged,24.03.2018 02:24:00 UTC Ryan Michael (MICHR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP1 failure.   *  raised notification to CO contactor   Define work requirements; including known materials specialist labour special tools that are required:  1 X 10369098   *     *       24.03.2018 06:06:18 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333 found RP1 to have failed due to arcing out and melting around bottom of solid contact arm. contact was welded shut from fault.,raised notification to co contactor utc jamie rayner phone found to have failed due to arcing out and melting around bottom of solid contact contact was welded shut from,raised notification co contactor utc jamie rayner phone found failed due arcing melting around bottom solid contact contact welded shut,rais notif co contactor utc jami rayner phone found fail due arc melt around bottom solid contact contact weld shut
1025,Failed,24.03.2018 02:24:00 UTC Ryan Michael (MICHR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP1 failure.   *  raised notification to CO contactor   Define work requirements; including known materials specialist labour special tools that are required:  1 X 10369098   *     *       24.03.2018 06:06:18 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333 found RP1 to have failed due to arcing out and melting around bottom of solid contact arm. contact was welded shut from fault.,raised notification to co contactor utc jamie rayner phone found to have failed due to arcing out and melting around bottom of solid contact contact was welded shut from,raised notification co contactor utc jamie rayner phone found failed due arcing melting around bottom solid contact contact welded shut,rais notif co contactor utc jami rayner phone found fail due arc melt around bottom solid contact contact weld shut
1029,Worn,03.03.2018 12:24:04 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Found at service that contact tips need replacing 4 x 10858502 1 x elect.  ,found at service that contact tips need replacing found at service that contact tips need replacing,found service contact tips need replacing found service contact tips need replacing,found servic contact tip need replac found servic contact tip need replac
1041,worn,14.03.2018 06:11:58 UTC Rory Bean (BEANRX)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Delta grid blower fault   *  Change brushes on blower motor 2   Define work requirements; including known materials specialist labour special tools that are required:  1 x Electricain 3 hrs 8 x 10366692  *     *    ,delta grid blower fault change brushes on blower motor electricain hrs,delta grid blower fault change brushes blower motor electricain hrs,delta grid blower fault chang brush blower motor electricain hrs
1042,Failed,02.04.2018 15:45:53 UTC Rory Bean (BEANRX)  Repalce shorted retifier panel  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:  1 x 10869859 1 x Elect 10 hrs 1 x fitter 10 hrs  *     *    ,elect hrs fitter hrs,elect hrs fitter hrs,elect hrs fitter hrs
1046,worn,21.03.2018 12:50:23 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace Alt brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace alt,replace alt,replac alt
1049,Failed,14.03.2018 08:17:03 UTC Jeffrey Wishart (WISHJ9) Phone +17130000001 Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) Horn not functioning to full capacity very faint  *   Define work requirements; including known materials specialist labour special tools that are required   *   *   14.03.2018 16:16:14 UTC Warren Dale (DALEW9) 1 x electrician 2hr 1 x 10859117 ,utc warren dale electrician utc warren dale electrician,utc warren dale electrician utc warren dale electrician,utc warren dale electrician utc warren dale electrician
1051,failed,13.04.2018 11:49:40 UTC Rory Bean (BEANRX) AFSE faulty   Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1 x 11015891 1 x Elect 3 hrs   *     *    ,elect hrs,elect hrs,elect hrs
1052,damaged,13.04.2018 11:49:40 UTC Rory Bean (BEANRX) AFSE faulty   Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1 x 11015891 1 x Elect 3 hrs   *     *    ,elect hrs,elect hrs,elect hrs
1053,worn,21.03.2018 12:50:23 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace Alt brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace alt,replace alt,replac alt
1054,worn,20.03.2018 16:57:10 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contact tips at service 1 x electrician 2 2 x 10858502 3 x 10869861,replace contact tips at service electrician replace contact tips at service electrician,replace contact tips service electrician replace contact tips service electrician,replac contact tip servic electrician replac contact tip servic electrician
1055,Worn,20.03.2018 16:57:10 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace contact tips at service 1 x electrician 2 2 x 10858502 3 x 10869861,replace contact tips at service electrician replace contact tips at service electrician,replace contact tips service electrician replace contact tips service electrician,replac contact tip servic electrician replac contact tip servic electrician
1064,Worn,27.03.2018 22:24:44 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace emergency stop at LH deck.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace emergency stop at lh,replace emergency stop lh,replac emerg stop lh
1066,Failed,12.04.2018 00:14:36 UTC Ryan Michael (MICHR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):   operator reported truck would not start  *  fitter sent to inspect   Define work requirements; including known materials specialist labour special tools that are required:  1x fitter 4x hours   *     *      ,operator reported truck would not start fitter sent to inspect fitter hours,operator reported truck would start fitter sent inspect fitter hours,oper report truck would start fitter sent inspect fitter hour
1074,worn,13.04.2018 11:49:40 UTC Rory Bean (BEANRX) AFSE faulty   Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1 x 11015891 1 x Elect 3 hrs   *     *    ,elect hrs,elect hrs,elect hrs
1075,worn,13.04.2018 11:49:40 UTC Rory Bean (BEANRX) AFSE faulty   Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1 x 11015891 1 x Elect 3 hrs   *     *    ,elect hrs,elect hrs,elect hrs
1081,worn,17.04.2018 09:10:08 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace alt brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace alt,replace alt,replac alt
1082,worn,17.04.2018 09:10:08 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace alt brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace alt,replace alt,replac alt
1083,Failed,03.05.2018 03:12:26 UTC Steven Herbst (HERBS9)  operator reported retarder grid fault  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *  raised noti   Define work requirements; including known materials specialist labour special tools that are required:  2 electricians diagnose and repair fault 39/1 invertex 6hrs   *     *  retarder grid blower brushes will most likely lose propel   03.05.2018 06:59:21 UTC Gavin Casten (CASTG91) Phone +6149805626 03.05.2018 06:40:32 UTC Robert Charles (CHARRA9) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) RD28 is faulting with a grid blow current imbalance fault code 39-1 the commutation has arcing damage. Need to replace at least 1 blower 03.05.2018 17:04:04 UTC Alex Bowen (BOWEAB9) 2/5/18 nightshift - Rd28 reported the 39/1 fault code going down the ramp. Electrician inspected commutator and brushes found bar burning on commutator. Used a rubber stone to clean bars on commutator. Performed a load box test and found BM1 drawing 145 amps and BM2 139 amps (the threshold for the trip is 10Amps difference) Returned to work and ran rest of shift. 3/5/18 Dayshift - Dayshift encountered the same issue fault 39/1 and parked the machine up.  3/5/18 nightshift - Inspected the commutator on both wheel motors Replaced BM1. Load box tested and both where very similar amps within 2 amps. Returned to work.,raised noti electricians diagnose and repair fault invertex retarder grid blower brushes will most likely lose propel utc gavin casten phone utc robert charles brief description of what occurred basic sequence of events and impacts avoiding the use of personnel is faulting with grid blow current imbalance fault code the commutation has arcing need to replace at least blower utc alex bowen nightshift reported the fault code going down the electrician inspected commutator and brushes found bar burning on used rubber stone to clean bars on performed load box test and found drawing amps and amps threshold for the trip is returned to work and ran rest of dayshift dayshift encountered the same issue fault and parked the machine nightshift inspected the commutator on both wheel motors replaced load box tested and both where very similar amps within returned to,raised noti electricians diagnose repair fault invertex retarder grid blower brushes likely lose propel utc gavin casten phone utc robert charles brief description occurred basic sequence events impacts avoiding use personnel faulting grid blow current imbalance fault code commutation arcing need replace least blower utc alex bowen nightshift reported fault code going electrician inspected commutator brushes found bar burning used rubber stone clean bars performed load box test found drawing amps amps threshold trip returned work ran rest dayshift dayshift encountered issue fault parked machine nightshift inspected commutator wheel motors replaced load box tested similar amps within returned,rais noti electrician diagnos repair fault invertex retard grid blower brush like lose propel utc gavin casten phone utc robert charl brief descript occur basic sequenc event impact avoid use personnel fault grid blow current imbal fault code commut arc need replac least blower utc alex bowen nightshift report fault code go electrician inspect commut brush found bar burn use rubber stone clean bar perform load box test found draw amp amp threshold trip return work ran rest dayshift dayshift encount issu fault park machin nightshift inspect commut wheel motor replac load box test similar amp within return
1084,worn,17.04.2018 09:10:08 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace alt brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace alt,replace alt,replac alt
1086,Worn,17.04.2018 09:10:08 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace alt brushes.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace alt,replace alt,replac alt
1089,Failed,08.05.2018 04:43:47 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace electric horn.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace electric,replace electric,replac electr
1091,Failed,13.05.2018 11:19:21 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Direction selector faulty. jiggle lever in either f n or r and signal drops in and out. Replace lever   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x elect 2 hr 1 x 10855529 lever   *     *    ,direction selector jiggle lever in either or and signal drops in and replace lever elect hr lever,direction selector jiggle lever either signal drops replace lever elect hr lever,direct selector jiggl lever either signal drop replac lever elect hr lever
1099,Worn,25.04.2018 19:00:24 UTC Ben Daly (DALYB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Maintainer has the blower mototr to be u/s and needs to be replaced. During investigation it was found that the wrong blower motor had been installed.    * Notification raised    Define work requirements; including known materials specialist labour special tools that are required: 2x HV electritians to replace motor    *     *       26.04.2018 06:41:40 UTC Jay Russell (RUSSJA91) disconnect old blower motor and remove install new blower motor test motor and send back to work (load box),maintainer has the blower mototr to be and needs to be during investigation it was found that the wrong blower motor had been notification raised hv electritians to replace motor utc jay russell disconnect old blower motor and remove install new blower motor test motor and send back to work,maintainer blower mototr needs investigation found wrong blower motor notification raised hv electritians replace motor utc jay russell disconnect old blower motor remove install new blower motor test motor send back work,maintain blower mototr need investig found wrong blower motor notif rais hv electritian replac motor utc jay russel disconnect old blower motor remov instal new blower motor test motor send back work
1100,worn,02.03.2018 18:28:39 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Engine has multiple EGT faults cylinders LB1 LB2 LB4 RB3 RB5 RB6  RB7 RB8 all have EGT's open circuited.  Engine is likely still under warranty please contact Chris Black in Cummins Mackay field deprtment to plan it in. chris.black@cummins.com 49528147     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *     07.03.2018 05:58:22 UTC Shayne Manns (MANNSB9) Phone +61735119013 07.03.2018 Please supply all relevant info below to submit a new warranty application  <95> Machine hours <95> Component hours <95> Date in service <95> Date of Failure <95> Machine serial number <95> Component serial number <95> Vendor that supplied or repaired the component <95> Work order failed component was fitted <95> PO failed component was purchased on (if this can not be found a photo of the vendors name plate/tag must be provided <95> Attachment (photo service report email or document)  07.03.2018 06:14:29 UTC Shayne Manns (MANNSB9) Phone +61735119013 How many hours required for the job Part Numbers ? 10.03.2018 05:50:16 UTC Steven Williams (WILLST92) Phone +61748473242 1 mn15 (Cummins Fitter) to replace harness x 6 hrs 15.03.2018 23:47:53 UTC Shayne Manns (MANNSB9) Phone +61735119013 INF 16/03/18 Any parts required ? Please supply part numbers ? 16.03.2018 03:47:51 UTC Steve Partington (PARTS91) Phone +49404167 Cummins will bring sensors as warranty covers this. 22.03.2018 22:14:40 UTC Shayne Manns (MANNSB9) Phone +61735119013 INF 23/03/18 No warranty info that is needed above has been supplied cannot proceed with warranty application without it .Please supply info above or submit the warranty app ?  23.03.2018 13:25:46 UTC Warren Dale (DALEW9) WO 427654484 PO 4505548074 Date 22/7/17 Failure Date 7/2/18 Cummins is the vendor Hrs are 3465  This is sufficient for a claim.    ,engine has multiple egt faults cylinders all have open engine is likely still under warranty please contact chris black in cummins mackay field deprtment to plan it utc shayne manns phone please supply all relevant info below to submit new warranty application machine hours component hours date in service date of failure machine serial number component serial number vendor that supplied or repaired the component work order failed component was fitted po failed component was purchased on this can not be found photo of the vendors name must be provided attachment service report email or utc shayne manns phone how many hours required for the job part numbers utc steven williams phone to replace harness hrs utc shayne manns phone inf any parts required please supply part numbers utc steve partington phone cummins will bring sensors as warranty covers utc shayne manns phone inf no warranty info that is needed above has been supplied cannot proceed with warranty application without it supply info above or submit the warranty app utc warren dale wo po date failure date cummins is the vendor hrs are this is sufficient for,engine multiple egt faults cylinders open engine likely still warranty please contact chris black cummins mackay field deprtment plan utc shayne manns phone please supply relevant info submit new warranty application machine hours component hours date service date failure machine serial number component serial number vendor supplied repaired component work order failed component fitted po failed component purchased found photo vendors name must provided attachment service report email utc shayne manns phone many hours required job part numbers utc steven williams phone replace harness hrs utc shayne manns phone inf parts required please supply part numbers utc steve partington phone cummins bring sensors warranty covers utc shayne manns phone inf warranty info needed supplied cannot proceed warranty application without supply info submit warranty app utc warren dale wo po date failure date cummins vendor hrs sufficient,engin multipl egt fault cylind open engin like still warranti pleas contact chris black cummin mackay field deprtment plan utc shayn mann phone pleas suppli relev info submit new warranti applic machin hour compon hour date servic date failur machin serial number compon serial number vendor suppli repair compon work order fail compon fit po fail compon purchas found photo vendor name must provid attach servic report email utc shayn mann phone mani hour requir job part number utc steven william phone replac har hrs utc shayn mann phone inf part requir pleas suppli part number utc steve partington phone cummin bring sensor warranti cover utc shayn mann phone inf warranti info need suppli cannot proceed warranti applic without suppli info submit warranti app utc warren dale wo po date failur date cummin vendor hrs suffici
1102,worn,02.03.2018 18:28:39 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Engine has multiple EGT faults cylinders LB1 LB2 LB4 RB3 RB5 RB6  RB7 RB8 all have EGT's open circuited.  Engine is likely still under warranty please contact Chris Black in Cummins Mackay field deprtment to plan it in. chris.black@cummins.com 49528147     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *     07.03.2018 05:58:22 UTC Shayne Manns (MANNSB9) Phone +61735119013 07.03.2018 Please supply all relevant info below to submit a new warranty application  <95> Machine hours <95> Component hours <95> Date in service <95> Date of Failure <95> Machine serial number <95> Component serial number <95> Vendor that supplied or repaired the component <95> Work order failed component was fitted <95> PO failed component was purchased on (if this can not be found a photo of the vendors name plate/tag must be provided <95> Attachment (photo service report email or document)  07.03.2018 06:14:29 UTC Shayne Manns (MANNSB9) Phone +61735119013 How many hours required for the job Part Numbers ? 10.03.2018 05:50:16 UTC Steven Williams (WILLST92) Phone +61748473242 1 mn15 (Cummins Fitter) to replace harness x 6 hrs 15.03.2018 23:47:53 UTC Shayne Manns (MANNSB9) Phone +61735119013 INF 16/03/18 Any parts required ? Please supply part numbers ? 16.03.2018 03:47:51 UTC Steve Partington (PARTS91) Phone +49404167 Cummins will bring sensors as warranty covers this. 22.03.2018 22:14:40 UTC Shayne Manns (MANNSB9) Phone +61735119013 INF 23/03/18 No warranty info that is needed above has been supplied cannot proceed with warranty application without it .Please supply info above or submit the warranty app ?  23.03.2018 13:25:46 UTC Warren Dale (DALEW9) WO 427654484 PO 4505548074 Date 22/7/17 Failure Date 7/2/18 Cummins is the vendor Hrs are 3465  This is sufficient for a claim.    ,engine has multiple egt faults cylinders all have open engine is likely still under warranty please contact chris black in cummins mackay field deprtment to plan it utc shayne manns phone please supply all relevant info below to submit new warranty application machine hours component hours date in service date of failure machine serial number component serial number vendor that supplied or repaired the component work order failed component was fitted po failed component was purchased on this can not be found photo of the vendors name must be provided attachment service report email or utc shayne manns phone how many hours required for the job part numbers utc steven williams phone to replace harness hrs utc shayne manns phone inf any parts required please supply part numbers utc steve partington phone cummins will bring sensors as warranty covers utc shayne manns phone inf no warranty info that is needed above has been supplied cannot proceed with warranty application without it supply info above or submit the warranty app utc warren dale wo po date failure date cummins is the vendor hrs are this is sufficient for,engine multiple egt faults cylinders open engine likely still warranty please contact chris black cummins mackay field deprtment plan utc shayne manns phone please supply relevant info submit new warranty application machine hours component hours date service date failure machine serial number component serial number vendor supplied repaired component work order failed component fitted po failed component purchased found photo vendors name must provided attachment service report email utc shayne manns phone many hours required job part numbers utc steven williams phone replace harness hrs utc shayne manns phone inf parts required please supply part numbers utc steve partington phone cummins bring sensors warranty covers utc shayne manns phone inf warranty info needed supplied cannot proceed warranty application without supply info submit warranty app utc warren dale wo po date failure date cummins vendor hrs sufficient,engin multipl egt fault cylind open engin like still warranti pleas contact chris black cummin mackay field deprtment plan utc shayn mann phone pleas suppli relev info submit new warranti applic machin hour compon hour date servic date failur machin serial number compon serial number vendor suppli repair compon work order fail compon fit po fail compon purchas found photo vendor name must provid attach servic report email utc shayn mann phone mani hour requir job part number utc steven william phone replac har hrs utc shayn mann phone inf part requir pleas suppli part number utc steve partington phone cummin bring sensor warranti cover utc shayn mann phone inf warranti info need suppli cannot proceed warranti applic without suppli info submit warranti app utc warren dale wo po date failur date cummin vendor hrs suffici
1103,Failed,26.05.2018 16:03:42 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): t bar shifter faulty need to replace TBAR shifter not knowing which gear is selected  1 x elec 2 hrs 1 x TBAR 10855529    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,bar shifter faulty need to replace tbar shifter not knowing which gear is selected elec hrs tbar,bar shifter faulty need replace tbar shifter knowing gear selected elec hrs tbar,bar shifter faulti need replac tbar shifter know gear select elec hrs tbar
1106,worn,26.04.2018 16:41:39 UTC Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  c/o blower moter brushes   *     Define work requirements; including known materials specialist labour special tools that are required:  1 lecky 4hrs 20x 10366692   *     *    ,blower moter brushes lecky,blower moter brushes lecky,blower moter brush lecki
1109,Worn,03.05.2018 03:12:26 UTC Steven Herbst (HERBS9)  operator reported retarder grid fault  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *  raised noti   Define work requirements; including known materials specialist labour special tools that are required:  2 electricians diagnose and repair fault 39/1 invertex 6hrs   *     *  retarder grid blower brushes will most likely lose propel   03.05.2018 06:59:21 UTC Gavin Casten (CASTG91) Phone +6149805626 03.05.2018 06:40:32 UTC Robert Charles (CHARRA9) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) RD28 is faulting with a grid blow current imbalance fault code 39-1 the commutation has arcing damage. Need to replace at least 1 blower 03.05.2018 17:04:04 UTC Alex Bowen (BOWEAB9) 2/5/18 nightshift - Rd28 reported the 39/1 fault code going down the ramp. Electrician inspected commutator and brushes found bar burning on commutator. Used a rubber stone to clean bars on commutator. Performed a load box test and found BM1 drawing 145 amps and BM2 139 amps (the threshold for the trip is 10Amps difference) Returned to work and ran rest of shift. 3/5/18 Dayshift - Dayshift encountered the same issue fault 39/1 and parked the machine up.  3/5/18 nightshift - Inspected the commutator on both wheel motors Replaced BM1. Load box tested and both where very similar amps within 2 amps. Returned to work.,raised noti electricians diagnose and repair fault invertex retarder grid blower brushes will most likely lose propel utc gavin casten phone utc robert charles brief description of what occurred basic sequence of events and impacts avoiding the use of personnel is faulting with grid blow current imbalance fault code the commutation has arcing need to replace at least blower utc alex bowen nightshift reported the fault code going down the electrician inspected commutator and brushes found bar burning on used rubber stone to clean bars on performed load box test and found drawing amps and amps threshold for the trip is returned to work and ran rest of dayshift dayshift encountered the same issue fault and parked the machine nightshift inspected the commutator on both wheel motors replaced load box tested and both where very similar amps within returned to,raised noti electricians diagnose repair fault invertex retarder grid blower brushes likely lose propel utc gavin casten phone utc robert charles brief description occurred basic sequence events impacts avoiding use personnel faulting grid blow current imbalance fault code commutation arcing need replace least blower utc alex bowen nightshift reported fault code going electrician inspected commutator brushes found bar burning used rubber stone clean bars performed load box test found drawing amps amps threshold trip returned work ran rest dayshift dayshift encountered issue fault parked machine nightshift inspected commutator wheel motors replaced load box tested similar amps within returned,rais noti electrician diagnos repair fault invertex retard grid blower brush like lose propel utc gavin casten phone utc robert charl brief descript occur basic sequenc event impact avoid use personnel fault grid blow current imbal fault code commut arc need replac least blower utc alex bowen nightshift report fault code go electrician inspect commut brush found bar burn use rubber stone clean bar perform load box test found draw amp amp threshold trip return work ran rest dayshift dayshift encount issu fault park machin nightshift inspect commut wheel motor replac load box test similar amp within return
1110,Worn,03.05.2018 03:12:26 UTC Steven Herbst (HERBS9)  operator reported retarder grid fault  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *  raised noti   Define work requirements; including known materials specialist labour special tools that are required:  2 electricians diagnose and repair fault 39/1 invertex 6hrs   *     *  retarder grid blower brushes will most likely lose propel   03.05.2018 06:59:21 UTC Gavin Casten (CASTG91) Phone +6149805626 03.05.2018 06:40:32 UTC Robert Charles (CHARRA9) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) RD28 is faulting with a grid blow current imbalance fault code 39-1 the commutation has arcing damage. Need to replace at least 1 blower 03.05.2018 17:04:04 UTC Alex Bowen (BOWEAB9) 2/5/18 nightshift - Rd28 reported the 39/1 fault code going down the ramp. Electrician inspected commutator and brushes found bar burning on commutator. Used a rubber stone to clean bars on commutator. Performed a load box test and found BM1 drawing 145 amps and BM2 139 amps (the threshold for the trip is 10Amps difference) Returned to work and ran rest of shift. 3/5/18 Dayshift - Dayshift encountered the same issue fault 39/1 and parked the machine up.  3/5/18 nightshift - Inspected the commutator on both wheel motors Replaced BM1. Load box tested and both where very similar amps within 2 amps. Returned to work.,raised noti electricians diagnose and repair fault invertex retarder grid blower brushes will most likely lose propel utc gavin casten phone utc robert charles brief description of what occurred basic sequence of events and impacts avoiding the use of personnel is faulting with grid blow current imbalance fault code the commutation has arcing need to replace at least blower utc alex bowen nightshift reported the fault code going down the electrician inspected commutator and brushes found bar burning on used rubber stone to clean bars on performed load box test and found drawing amps and amps threshold for the trip is returned to work and ran rest of dayshift dayshift encountered the same issue fault and parked the machine nightshift inspected the commutator on both wheel motors replaced load box tested and both where very similar amps within returned to,raised noti electricians diagnose repair fault invertex retarder grid blower brushes likely lose propel utc gavin casten phone utc robert charles brief description occurred basic sequence events impacts avoiding use personnel faulting grid blow current imbalance fault code commutation arcing need replace least blower utc alex bowen nightshift reported fault code going electrician inspected commutator brushes found bar burning used rubber stone clean bars performed load box test found drawing amps amps threshold trip returned work ran rest dayshift dayshift encountered issue fault parked machine nightshift inspected commutator wheel motors replaced load box tested similar amps within returned,rais noti electrician diagnos repair fault invertex retard grid blower brush like lose propel utc gavin casten phone utc robert charl brief descript occur basic sequenc event impact avoid use personnel fault grid blow current imbal fault code commut arc need replac least blower utc alex bowen nightshift report fault code go electrician inspect commut brush found bar burn use rubber stone clean bar perform load box test found draw amp amp threshold trip return work ran rest dayshift dayshift encount issu fault park machin nightshift inspect commut wheel motor replac load box test similar amp within return
1112,Failed,06.06.2018 02:16:12 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Machine faulted with Grid Blower Delta   *  Inspected grid blower motors and found BM2 to be nearly new and BM1 comm to be burnt with evidense of heat marks. the grounding brush slipring was also not making very good connection   Define work requirements; including known materials specialist labour special tools that are required:  2 X electricians 3hrs 1 X 10369095   *  NIL   *  NIL  ,machine faulted with grid blower delta inspected grid blower motors and found to be nearly new and comm to be burnt with evidense of heat the grounding brush slipring was also not making very good connection electricians nil nil,machine faulted grid blower delta inspected grid blower motors found nearly new comm burnt evidense heat grounding brush slipring also making good connection electricians nil nil,machin fault grid blower delta inspect grid blower motor found near new comm burnt evidens heat ground brush slipr also make good connect electrician nil nil
